sess	T	C	R	O	M
5					
5			15.021		
5					
5					
5	16.806				
5					
5					
5					
5					
5					
5					
5					
5					
5					
5	22.812				
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5	30.619				
5					
5					
5					
5	33.021				
5					
5					
5	34.806				
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5			42.013		
5					
5					
5					
5					
5					
5					
5	46.217				
5					
5					
5					
5		48.619			
5					
5					
5					
5	51.005				
5					
5					
5					
5	53.407				
5					
5					
5					
5					
5		56.41			
5					
5					
5				58.211	
5					
5					
5				60.013	
5					
5					
5					
5	62.415				
5					
5					
5					
5		64.817			
5					
5					
5					
5					
5					
5	68.421				
5					
5					
5					
5					
5					
5					
5	72.608				
5					
5					
5	74.41				
5					
5					
5					
5			76.812		
5					
5					
5					
5					
5					
5	80.415				
5					
5					
5					
5					
5					
5					
5	84.619				
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5			92.41		
5					
5					
5					
5	94.812				
5					
5					
5					
5					
5					
5					
5					
5					
5					
5	100.818				
5					
5					
5	102.619				
5					
5					
5					
5					
5					
5			106.206		
5					
5					
5	108.008				
5					
5					
5					
5					
5					
5					
5					
5					
5					
5				114.013	
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					120.619
5					
5					
5					
5	123.005				
5					
5					
5					
5					
5	126.008				
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5			132.614		
5					
5					
5					
5	135.016				
5					
5					
5	136.818				
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5					
5				144.008	
5					
5					
5					
5	146.41				
5					
5					
5					
5					
5					
5		150.013			
5					
5					
5					
5					
5					
5					
5					
5					
5				155.418	
5					
5					
5				157.22	
5					
5					
5					
5					
5					
5					160.807
5					
5					
5				162.609	
5					
5					
5					
5					
6					
6					
6					
6					
6				3.811	
6					
6					
6					
6				6.213	
6					
6					
6					
6					
6			9.216		
6					
6					
6					
6	11.168				
6					
6					
6				12.969	
6					
6					
6					
6				15.372	
6					
6					
6					
6		17.757			
6					
6					
6					
6					
6					
6					
6				21.461	
6					
6			22.662		
6					
6					
6					
6					
6					
6					
6				26.365	
6					
6					
6					
6					
6					
6					
6				30.569	
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6					
6		38.36			
6					
6					
6					
6					
6				40.862	
6					
6					
6					
6					
6					
6					
6					
6					
6					
6				46.868	
6					
6					
6	48.669				
6					
6					
6					
6					
6					
6			52.273		
6					
6					
